45
qstr_{s0}^Ironflesh:_{reg {s0}^Ironflesh:_{reg10}
qstr_{s0}^Power_strike:_{ {s0}^Power_strike:_{reg10}
qstr_{s0}^Power_draw:_{re {s0}^Power_draw:_{reg10}
qstr_{s0}^Power_throw:_{r {s0}^Power_throw:_{reg10}
qstr_{s0}^Shield:_{reg10} {s0}^Shield:_{reg10}
qstr_{s0}^Athletics:_{reg {s0}^Athletics:_{reg10}
qstr_{s0}^Riding:_{reg10} {s0}^Riding:_{reg10}
qstr_{s0}^Horse_archery:_ {s0}^Horse_archery:_{reg10}
qstr_{s0}^Engineer:_{reg1 {s0}^Engineer:_{reg10}
qstr_{s0}^Wound_treatment {s0}^Wound_treatment:_{reg10}
qstr_{s0}^Labouring:_{reg {s0}^Labouring:_{reg10}
qstr_{s0}^Looting:_{reg10 {s0}^Looting:_{reg10}
qstr_{s0}^Sailing:_{reg10 {s0}^Sailing:_{reg10}
qstr_{s0}^Tailoring:_{reg {s0}^Tailoring:_{reg10}
qstr_{s0}^Herding:_{reg10 {s0}^Herding:_{reg10}
qstr_http://localhost/sav http://localhost/saveplayer.php?uniqueid={reg31}&item1={reg1}&item2={reg2}&item3={reg3}&item4={reg4}&head={reg5}&body={reg6}&hands={reg8}&feet={reg7}&gold={reg9}&health={reg11}&food={reg13}&troop={reg14}&faction={reg15}&horse={reg16}&x={reg17}&y={reg18}&z={reg19}&username={s34}
qstr_{s0}_attacked_{s1}_a {s0}_attacked_{s1}_and_dealt_{reg1}_damage
qstr_SERVER SERVER
qstr_{s0}_attacked_the_ho {s0}_attacked_the_horse_of_{s1}_and_dealt_{reg1}_damage
qstr_{s1}_s_horse_bumped_ {s1}'s_horse_bumped_{s0}_and_dealt_{reg1}_damage
qstr_reset_player_on_deat reset_player_on_death_triggered
qstr_http://localhost/res http://localhost/resetplayer.php?uniqueid=reg1&username={s93}
qstr_http://localhost/upd http://localhost/updatename.php?uniqueid={reg1}&username={s45}
qstr_agent_respawn_fix_ac agent_respawn_fix_activated!
qstr_http://localhost/pla http://localhost/playerspawning.php?uniqueid={reg1}&localid={reg2}
qstr_http://localhost/add http://localhost/addplayer.php?uniqueid={reg1}
qstr_http://localhost/adm http://localhost/admincheck.php?uniqueid={reg2}&localid={reg3}&username={s0}
qstr_http://localhost/rem http://localhost/removeperms.php?uniqueid={reg2}
qstr_http://localhost/remo http://localhost/removeaccess.php?uniqueid={reg2}
qstr_[!]_[_Mass_Ban_Prote [!]_[_Mass_Ban_Protection_Activated!_]_:_Admin_:_{s0}_-_{reg2}_-_has_triggered_our_server_protection_and_has_been_auto_removed_pending_investigation!_
qstr__[ATTENTION]_{s42}_ _[ATTENTION]_{s42}_
qstr_http://localhost/gol http://localhost/goldspawning.php?string={s42}
qstr_http://localhost/get http://localhost/getbankwithdraw.php?guid={reg2}&playerid={reg0}&username={s56}
qstr_http://localhost/getb http://localhost/getbankdeposit.php?guid={reg2}&playerid={reg0}&username={s56}
qstr_http://localhost/dep http://localhost/deposit.php?guid={reg2}&username={s56}&deposit={reg4}&bank={reg7}
qstr_[!]_Depositing_{reg4 [!]_Depositing_{reg4}_to_bank,_Current_Balance_{reg76},_You_can_still_deposit_{reg59}_into_your_bank._
qstr_http://localhost/wit http://localhost/withdraw.php?guid={reg2}&username={s56}&withdraw={reg4}&balance={reg5}
qstr_[!]_Withdrawing_{reg [!]_Withdrawing_{reg4}_from_bank,_Remaining_Balance_{reg53}_
qstr_Greetings_{s6}!_Welc Greetings_{s6}!_Welcome_to_{s5},_Your_GUID_is_{reg2},_Your_Bank_contains_{reg4}!
qstr_RECENT_NEWS__{s9}_ RECENT_NEWS_|_{s9}_
qstr_[!]_You_have_no_gold [!]_You_have_no_gold_to_deposit_
qstr_[!]_Bank_limit_reach [!]_Bank_limit_reached_[_{reg4}_]_
qstr_[!]_Your_bank_is_emp [!]_Your_bank_is_empty
qstr_Labor_Bonus_Recieved Labor_Bonus_Recieved_[!]
qstr_Faction_Bonus_Reciev Faction_Bonus_Recieved_[!]
